



Maintenant ils peuvent venir,2015,Mebrouk Ait Amara,actor,
Matrimonio all'italiana,1964,Vincenzo Aita,actor,
Black mic-mac 2,1988,Alain Aithnard,actor,





Mishima: A Life in Four Chapters,1985,Masato Aizawa,actor,

50 Kisses,2014,David Ajao,actor,
Ninja Mission 2000,2000,Mattias Ajdert,actor,






Ragaszkodom a szerelemhez,1943,Andor Ajtay,actor,

Saam gaang yi,2004,Mitsuru Akaboshi,actor,
Dotsuitarunen,1989,Hidekazu Akai,actor,
Rokuyon: Zenpen,2016,Hidekazu Akai,actor,
Anlat Istanbul,2005,Erdem Akak?e,actor,

The Silent Enemy,1930,Chief Akawanush,actor,
F Tipi Film,2012,Ezel Akay,actor,
Chhando Hariye Gelo,1972,Shaukat Akbar,actor,
Taka Ana Pai,1970,Shaukat Akbar,actor,
Boys on Film 11: We Are Animals,2014,Akram Akbari,actor,
Sag-haye velgard,2004,Sohrab Akbari,actor,



The Magic Flute,2006,Aytunc Akdogu,actor,
F Tipi Film,2012,Sacit Akel,actor,
F Tipi Film,2012,Sacit Akel,actor,
Anlat Istanbul,2005,Mehmet Selim Akgul,actor,
Hitler's Grave,2010,Afshin Akhavan,actor,





Operatsiya 'Y' i drugie priklyucheniya Shurika,1965,Guseyn Akhundov,actor,
Doomsday County,2010,Alvin Aki,actor,
Doktor,2012,Pavel Akimkin,actor,

Running,1979,Philip Akin,actor,


Otoko wa tsurai yo: Boukyou hen,1970,Taisaku Akino,actor,
Dysmorphia,2014,T.J. Akins,actor,
An Hour to Kill,2017,Keisuke Akizawa,actor,
LOC: Kargil,2003,Nagarjuna Akkineni,actor,





Points of View,2013,Oguzhan Aksu,actor,

Dreamz: The Movie,2013,Taslima Akter,actor,
Al hob al kabeer,1969,Abdel Salam Al Nabulsy,actor,
Drop Out,2007,Jad Al Omari,actor,
Boys on Film 15: Time & Tied,2016,Amrou Al-Kadhi,actor,

V/H/S/2,2013,Ali Al-Tway,actor,







The Kentucky Fried Movie,1977,Michael Alaimo,actor,


Mayer Odhikar,1996,Alamgir,actor,
Tipped Off,1923,James Alamo,actor,

Takut: Faces of Fear,2008,Donny Alamsyah,actor,
Not Ghostbusters: The 23 Directors' Cut,2015,Scott Alan Richards,actor,

Train Station,2015,Lance Alan,actor,
Imps*,2009,Lloyd Alan,actor,
Charlie's War,2003,Matthew Alan,actor,

Shake Rattle & Roll X,2008,Luis Alandy,actor,
Amor del regio,2011,Cesar Alanis,actor,






Shake Rattle and Roll 8,2006,Renford Alano,actor,


Hiwaga sa Balete Drive,1988,Jestoni Alarcon,actor,




Tu seras mon fils,2011,Daniel Alard,actor,
Amor amor amor,1965,Antonio Alatorre,actor,

Mezanits yereqe,1988,Henrik Alaverdyan,actor,
Ma petite entreprise,1999,Benjamin Alazraki,actor,


Shake Rattle Roll 13,2011,Jake (II) Alba,actor,

Tres eran tres,1955,Manuel Alba,actor,

Abenteuer im Grandhotel,1943,Wolf Albach-Retty,actor,
Alles aus Liebe,1943,Wolf Albach-Retty,actor,
Der Fleck auf der Ehr',1930,Wolf Albach-Retty,actor,

Der Obersteiger,1952,Wolf Albach-Retty,actor,
Heimatland,1939,Wolf Albach-Retty,actor,
Liebe muss verstanden sein,1933,Wolf Albach-Retty,actor,
Seine Tochter ist der Peter,1955,Wolf Albach-Retty,actor,




Tutto per tutto,1968,Rafael Albaic?n,actor,
Tu ridi,1998,Antonio Albanese,actor,


I fobici,1999,Giovanni Albanese,actor,


V/H/S/2,2013,Fachry Albar,actor,




III Slices of Life,2010,George Albergo,actor,

Children of the Ghetto,1915,Luis Alberni,actor,
In Society,1944,Luis Alberni,actor,

The Road to Hollywood,1947,Luis Alberni,actor,

Temporary Girl,1998,Gus Albero,actor,


Das gab's nur einmal,1958,Hans Albers,actor,

Die Gesunkenen,1926,Hans Albers,actor,
Hans in allen Gassen,1930,Hans Albers,actor,


Prinzessin Olala,1928,Hans Albers,actor,
Quick,1932,Hans Albers,actor,
Schieber,1921,Hans Albers,actor,
The Blue Angel,1930,Hans Albers,actor,
Tales of Fear,2016,Matt Albers,actor,
Monster Pool: Chapter Two,2016,Alec Albert,actor,

Beale Street Mama,1946,Don Albert,actor,
Actor's and Sin,1952,Eddie Albert,actor,

Four Wives,1939,Eddie Albert,actor,
The Young Doctors,1961,Eddie Albert,actor,


Ulzana,1974,Eugen Albert,actor,


La nottata,1975,Giorgio Albertazzi,actor,






Il Decameron,1971,Guido Alberti,actor,

Made in Italy,1965,Giampiero Albertini,actor,

Thrilling,1965,Giampiero Albertini,actor,

Tempo,2003,Michel Albertini,actor,
O Roubo das Calcinhas,1975,Carlos (VII) Alberto,actor,
Sea of Dreams,2006,Cosme Alberto,actor,
Teu Tua,1979,Jorge (III) Alberto,actor,

Terror Tract,2000,Aaron J. Alberts,actor,
Boys Life 4: Four Play,2003,Jonathan Alberts,actor,

Louisiana Purchase,1941,Frank Albertson,actor,

Shepherd of the Ozarks,1942,Frank Albertson,actor,
The Last Gentleman,1934,Frank Albertson,actor,

Die Augen des Ole Brandis,1913,Emil Albes,actor,

Tammy and the Millionaire,1967,Andy Albin,actor,
All Human Rights for All,2008,Michele Albini,actor,
Libido,1973,Mark Albiston,actor,
Boys Life 4: Four Play,2003,Mike (II) Albo,actor,





A Successful Calamity,1932,Hardie Albright,actor,




The Count of Monte Cristo,1934,Wally Albright,actor,
Somnul insulei,1994,Mircea Albulescu,actor,
Tres eran tres,1955,Jos? Alburquerque,actor,
Shake Rattle Roll 13,2011,Caloy Alca,actor,







The Profane Exhibit,2013,D?dac Alcaraz,actor,
El cuerpazo del delito,1970,Eduardo Alcaraz,actor,
El pecado de una madre,1962,Eduardo Alcaraz,actor,

Pablo y Carolina,1957,Eduardo Alcaraz,actor,
Pompeyo el conquistador,1953,Eduardo Alcaraz,actor,
Su excelencia,1967,Eduardo Alcaraz,actor,
Tu vida entre mis manos,1955,Eduardo Alcaraz,actor,
Un minuto de bondad,1954,Eduardo Alcaraz,actor,


Pubertinaje,1971,Jos? Antonio Alcaraz,actor,
Angels,2007,Marco Alcaraz,actor,
Shake Rattle & Roll 2k5,2005,Marco Alcaraz,actor,
